client_id,language,scenario_id,shape,rows,n,median_s,p95_s,min_s,max_s,rows_per_s
r-jdbc,r,wide_100000,wide,100000,5,5.2019,6.15958,3.8065,6.2743,19223.745170034024
r-jdbc,r,wide_1000000,wide,1000000,5,22.3817,23.65086,21.4197,23.8109,44679.35858312818
r-jdbc,r,wide_single_row,wide,1,5,0.8415,0.89624,0.833,0.9078,1.1883541295306002
r-odbc,r,narrow_1000,narrow,1000,5,0.8419,0.9064,0.8066,0.9174,1187.789523696401
r-odbc,r,narrow_10000,narrow,10000,5,0.8488,1.19418,0.8112,1.2139,11781.3383600377
r-odbc,r,narrow_100000,narrow,100000,5,4.0699,4.1076,3.9556,4.108,24570.62827096489
r-odbc,r,narrow_1000000,narrow,1000000,5,17.5219,26.032919999999997,15.7517,26.4181,57071.43631683779
r-odbc,r,select_1,scalar,1,5,0.4086,0.44533999999999996,0.3995,0.4537,2.4473813020068524
r-odbc,r,wide_1000,wide,1000,5,1.213,1.4827599999999999,1.13,1.503,824.4023083264633
r-odbc,r,wide_10000,wide,10000,5,1.52,1.5849199999999999,1.2759,1.5876,6578.9473684210525
r-odbc,r,wide_100000,wide,100000,5,15.093,15.369,9.2214,15.3892,6625.588020936858
r-odbc,r,wide_1000000,wide,1000000,5,33.379,35.278459999999995,32.4298,35.4492,29958.95622996495
r-odbc,r,wide_single_row,wide,1,5,0.5362,0.55612,0.5337,0.5584,1.864975755315181
