file,run_file,run_date,client_id,language,repeats,scenario_id,query,iteration,seconds,shape,rows,rows_per_s
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_10000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 10000,2,2.164468291000958,wide,10000,4620.072302087411
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_10000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 10000,3,2.2404103329972713,wide,10000,4463.4680766811925
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_10000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 10000,4,1.8616728750021139,wide,10000,5371.512973238462
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_10000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 10000,5,1.878383915998711,wide,10000,5323.7253123960745
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,narrow_100000,"SELECT cs_order_number, cs_item_sk, cs_quantity, cs_sales_price, cs_net_paid, cs_net_profit FROM samples.tpcds_sf1000.catalog_sales LIMIT 100000",1,4.280948500003433,narrow,100000,23359.30927454974
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,narrow_100000,"SELECT cs_order_number, cs_item_sk, cs_quantity, cs_sales_price, cs_net_paid, cs_net_profit FROM samples.tpcds_sf1000.catalog_sales LIMIT 100000",2,4.37754891700024,narrow,100000,22843.833820257118
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,narrow_100000,"SELECT cs_order_number, cs_item_sk, cs_quantity, cs_sales_price, cs_net_paid, cs_net_profit FROM samples.tpcds_sf1000.catalog_sales LIMIT 100000",3,5.3900799170005484,narrow,100000,18552.60061814587
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,narrow_100000,"SELECT cs_order_number, cs_item_sk, cs_quantity, cs_sales_price, cs_net_paid, cs_net_profit FROM samples.tpcds_sf1000.catalog_sales LIMIT 100000",4,4.56710454199856,narrow,100000,21895.71074636275
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,narrow_100000,"SELECT cs_order_number, cs_item_sk, cs_quantity, cs_sales_price, cs_net_paid, cs_net_profit FROM samples.tpcds_sf1000.catalog_sales LIMIT 100000",5,4.517769458998373,narrow,100000,22134.81695061324
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_100000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 100000,1,10.296492167002725,wide,100000,9712.045459566418
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_100000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 100000,2,9.46335262499997,wide,100000,10567.07955020331
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_100000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 100000,3,12.4221231670017,wide,100000,8050.153637635906
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_100000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 100000,4,13.483521417001612,wide,100000,7416.460204076083
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_100000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 100000,5,10.434190250001848,wide,100000,9583.877388087905
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,narrow_1000000,"SELECT cs_order_number, cs_item_sk, cs_quantity, cs_sales_price, cs_net_paid, cs_net_profit FROM samples.tpcds_sf1000.catalog_sales LIMIT 1000000",1,19.921797249997326,narrow,1000000,50196.27433464288
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,narrow_1000000,"SELECT cs_order_number, cs_item_sk, cs_quantity, cs_sales_price, cs_net_paid, cs_net_profit FROM samples.tpcds_sf1000.catalog_sales LIMIT 1000000",2,20.129064291999384,narrow,1000000,49679.408118213716
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,narrow_1000000,"SELECT cs_order_number, cs_item_sk, cs_quantity, cs_sales_price, cs_net_paid, cs_net_profit FROM samples.tpcds_sf1000.catalog_sales LIMIT 1000000",3,26.733723583001847,narrow,1000000,37405.937743585855
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,narrow_1000000,"SELECT cs_order_number, cs_item_sk, cs_quantity, cs_sales_price, cs_net_paid, cs_net_profit FROM samples.tpcds_sf1000.catalog_sales LIMIT 1000000",4,20.079076292000536,narrow,1000000,49803.08782423413
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,narrow_1000000,"SELECT cs_order_number, cs_item_sk, cs_quantity, cs_sales_price, cs_net_paid, cs_net_profit FROM samples.tpcds_sf1000.catalog_sales LIMIT 1000000",5,20.07876083300289,narrow,1000000,49803.87028448132
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_1000000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 1000000,1,48.522195292000106,wide,1000000,20609.125246335894
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_1000000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 1000000,2,47.39076279100118,wide,1000000,21101.158561429307
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_1000000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 1000000,3,44.436898374999146,wide,1000000,22503.820846385057
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_1000000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 1000000,4,42.09079770899916,wide,1000000,23758.16222143484
results/python-odbc/run_20260206.json,run_20260206.json,20260206,python-odbc,python,5,wide_1000000,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 1000000,5,45.19419850000122,wide,1000000,22126.733810756108
results/python-sql-connector/run_20260206.json,run_20260206.json,20260206,python-sql-connector,python,5,select_1,SELECT 1 AS one,1,0.42963349999990896,scalar,1,2.3275652387446786
results/python-sql-connector/run_20260206.json,run_20260206.json,20260206,python-sql-connector,python,5,select_1,SELECT 1 AS one,2,0.40704716600157553,scalar,1,2.4567177553967525
results/python-sql-connector/run_20260206.json,run_20260206.json,20260206,python-sql-connector,python,5,select_1,SELECT 1 AS one,3,0.43095625000205473,scalar,1,2.3204211564288304
results/python-sql-connector/run_20260206.json,run_20260206.json,20260206,python-sql-connector,python,5,select_1,SELECT 1 AS one,4,0.42036354200172354,scalar,1,2.3788932675705254
results/python-sql-connector/run_20260206.json,run_20260206.json,20260206,python-sql-connector,python,5,select_1,SELECT 1 AS one,5,0.41232129099807935,scalar,1,2.425293143556485
results/python-sql-connector/run_20260206.json,run_20260206.json,20260206,python-sql-connector,python,5,wide_single_row,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 1,1,0.5313981250001234,wide,1,1.8818282431835223
results/python-sql-connector/run_20260206.json,run_20260206.json,20260206,python-sql-connector,python,5,wide_single_row,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 1,2,0.5313942920001864,wide,1,1.8818418169980065
results/python-sql-connector/run_20260206.json,run_20260206.json,20260206,python-sql-connector,python,5,wide_single_row,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 1,3,0.5299625000006927,wide,1,1.88692596174011
results/python-sql-connector/run_20260206.json,run_20260206.json,20260206,python-sql-connector,python,5,wide_single_row,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 1,4,0.5455724579987873,wide,1,1.8329371018252956
results/python-sql-connector/run_20260206.json,run_20260206.json,20260206,python-sql-connector,python,5,wide_single_row,SELECT * FROM samples.tpcds_sf1000.catalog_sales LIMIT 1,5,0.530875875003403,wide,1,1.8836794947474111
results/python-sql-connector/run_20260206.json,run_20260206.json,20260206,python-sql-connector,python,5,narrow_1000,"SELECT cs_order_number, cs_item_sk, cs_quantity, cs_sales_price, cs_net_paid, cs_net_profit FROM samples.tpcds_sf1000.catalog_sales LIMIT 1000",1,0.8272868750027556,narrow,1000,1208.770536818524
